DNS Testing Started at Friday 11 July 2025 01:22:42 PM IST
================================================

Testing domain: cloudflare.com
Domain,Run,TW1,TW29,Client_RTT_ms,Status
----------------------------------------
cloudflare.com,1,1752220368.651357,,N/A,FAILED
cloudflare.com,2,1752220381.851913,1752220382.210811,358.89,SUCCESS
cloudflare.com,3,1752220385.399655,1752220385.413473,13.82,SUCCESS
cloudflare.com,4,1752220388.600171,1752220388.615451,15.27,SUCCESS
cloudflare.com,5,1752220391.806926,1752220391.822679,15.75,SUCCESS
cloudflare.com,6,1752220395.004375,1752220395.020044,15.67,SUCCESS
cloudflare.com,7,1752220398.203686,1752220398.216222,12.54,SUCCESS
cloudflare.com,8,1752220401.406790,1752220401.421173,14.38,SUCCESS
cloudflare.com,9,1752220404.615561,1752220404.628704,13.14,SUCCESS
cloudflare.com,10,1752220407.815413,1752220407.830621,15.21,SUCCESS
cloudflare.com,11,1752220410.999306,1752220411.014743,15.43,SUCCESS
cloudflare.com,12,1752220414.210742,1752220414.226824,16.08,SUCCESS
cloudflare.com,13,1752220417.406074,1752220417.424453,18.38,SUCCESS
cloudflare.com,14,1752220420.584457,1752220420.597919,13.46,SUCCESS
cloudflare.com,15,1752220423.788202,1752220423.804958,16.75,SUCCESS
cloudflare.com,16,1752220426.971368,1752220426.985827,14.46,SUCCESS
cloudflare.com,17,1752220430.176208,1752220430.192699,16.49,SUCCESS
cloudflare.com,18,1752220433.376005,1752220433.391521,15.51,SUCCESS
cloudflare.com,19,1752220436.591528,1752220436.606229,14.70,SUCCESS
cloudflare.com,20,1752220439.791663,1752220439.807703,16.04,SUCCESS
cloudflare.com,21,1752220442.991574,1752220443.006113,14.54,SUCCESS
cloudflare.com,22,1752220446.187579,1752220446.203070,15.49,SUCCESS
cloudflare.com,23,1752220449.382547,1752220449.395442,12.89,SUCCESS
cloudflare.com,24,1752220452.578349,1752220452.593771,15.42,SUCCESS
cloudflare.com,25,1752220455.779724,1752220455.795525,15.80,SUCCESS
cloudflare.com,26,1752220458.978727,1752220458.991790,13.06,SUCCESS
cloudflare.com,27,1752220462.170951,1752220462.186889,15.94,SUCCESS
cloudflare.com,28,1752220465.365945,1752220465.381762,15.82,SUCCESS
cloudflare.com,29,1752220468.570557,1752220468.583726,13.17,SUCCESS
cloudflare.com,30,1752220471.765542,1752220471.778555,13.01,SUCCESS
cloudflare.com,31,1752220474.959949,1752220474.975658,15.71,SUCCESS
cloudflare.com,32,1752220478.159241,1752220478.173623,14.38,SUCCESS
cloudflare.com,33,1752220481.356163,1752220481.372065,15.90,SUCCESS
cloudflare.com,34,1752220484.553851,1752220484.568671,14.82,SUCCESS
cloudflare.com,35,1752220487.740552,1752220487.757222,16.67,SUCCESS
cloudflare.com,36,1752220490.935551,1752220490.949581,14.03,SUCCESS
cloudflare.com,37,1752220494.123287,1752220494.138580,15.29,SUCCESS
cloudflare.com,38,1752220497.319526,1752220497.333148,13.62,SUCCESS
cloudflare.com,39,1752220500.511391,1752220500.527447,16.05,SUCCESS
cloudflare.com,40,1752220503.702438,1752220503.718353,15.91,SUCCESS
cloudflare.com,41,1752220506.887530,1752220506.903664,16.13,SUCCESS
cloudflare.com,42,1752220510.078969,1752220510.094681,15.71,SUCCESS
cloudflare.com,43,1752220513.272164,1752220513.284404,12.24,SUCCESS
cloudflare.com,44,1752220516.467474,1752220516.483111,15.64,SUCCESS
cloudflare.com,45,1752220519.662336,1752220519.677420,15.08,SUCCESS
cloudflare.com,46,1752220522.857469,1752220522.872437,14.97,SUCCESS
cloudflare.com,47,1752220526.050265,1752220526.068079,17.81,SUCCESS
cloudflare.com,48,1752220529.244737,1752220529.259737,15.00,SUCCESS
cloudflare.com,49,1752220532.409317,1752220532.423136,13.82,SUCCESS
cloudflare.com,50,1752220535.601184,1752220535.616398,15.21,SUCCESS
cloudflare.com,51,1752220538.798592,1752220538.814275,15.68,SUCCESS
cloudflare.com,52,1752220541.992972,1752220542.006847,13.87,SUCCESS
cloudflare.com,53,1752220545.180785,1752220545.196917,16.13,SUCCESS
cloudflare.com,54,1752220548.370170,1752220548.385321,15.15,SUCCESS
cloudflare.com,55,1752220551.559214,1752220551.574995,15.78,SUCCESS
cloudflare.com,56,1752220554.760298,1752220554.776728,16.43,SUCCESS
cloudflare.com,57,1752220557.959542,1752220557.969815,10.27,SUCCESS
cloudflare.com,58,1752220561.147825,1752220561.163608,15.78,SUCCESS
cloudflare.com,59,1752220564.343405,1752220564.358159,14.75,SUCCESS
cloudflare.com,60,1752220567.522234,1752220567.540696,18.46,SUCCESS
cloudflare.com,61,1752220570.727362,1752220570.743474,16.11,SUCCESS
