DNS Testing Started at Thursday 31 July 2025 03:28:57 PM IST
================================================

Testing domain: google.com
Domain,Run,TW1,TW29,Client_RTT_ms,Status
----------------------------------------
google.com,1,1753955938.914481,1753955942.601537,3687.05,SUCCESS
google.com,2,1753955945.784535,1753955945.807668,23.13,SUCCESS
google.com,3,1753955948.991667,1753955949.014635,22.97,SUCCESS
google.com,4,1753955952.194784,1753955952.216130,21.34,SUCCESS
google.com,5,1753955955.403411,1753955955.426449,23.04,SUCCESS
google.com,6,1753955958.608439,1753955958.630435,21.99,SUCCESS
google.com,7,1753955961.820941,1753955961.839474,18.53,SUCCESS
google.com,8,1753955965.019615,1753955965.041767,22.15,SUCCESS
google.com,9,1753955968.228845,1753955968.248513,19.67,SUCCESS
google.com,10,1753955971.432228,1753955971.453732,21.50,SUCCESS
google.com,11,1753955974.641909,1753955974.662968,21.06,SUCCESS
google.com,12,1753955977.846216,1753955977.867929,21.71,SUCCESS
google.com,13,1753955981.063541,1753955981.087157,23.61,SUCCESS
google.com,14,1753955984.275283,1753955984.291418,16.13,SUCCESS
google.com,15,1753955987.476958,1753955987.499326,22.37,SUCCESS
google.com,16,1753955990.683385,1753955990.706331,22.94,SUCCESS
google.com,17,1753955993.887022,1753955993.904550,17.53,SUCCESS
google.com,18,1753955997.084875,1753955997.107562,22.69,SUCCESS
google.com,19,1753956000.293360,1753956000.313660,20.30,SUCCESS
google.com,20,1753956003.509341,1753956003.529901,20.56,SUCCESS
google.com,21,1753956006.712942,1753956006.737305,24.36,SUCCESS
google.com,22,1753956009.921399,1753956009.949264,27.86,SUCCESS
google.com,23,1753956013.133492,1753956013.151950,18.46,SUCCESS
google.com,24,1753956016.340579,1753956016.364109,23.53,SUCCESS
google.com,25,1753956019.551668,1753956019.568884,17.21,SUCCESS
google.com,26,1753956022.753299,1753956022.771914,18.61,SUCCESS
google.com,27,1753956025.958920,1753956025.983850,24.93,SUCCESS
google.com,28,1753956029.164040,1753956029.182548,18.51,SUCCESS
google.com,29,1753956032.369590,1753956032.387367,17.78,SUCCESS
google.com,30,1753956035.560356,1753956035.578484,18.13,SUCCESS
google.com,31,1753956038.770620,1753956038.789344,18.72,SUCCESS
google.com,32,1753956041.979211,1753956042.001926,22.71,SUCCESS
google.com,33,1753956045.189598,1753956045.211854,22.26,SUCCESS
google.com,34,1753956048.405001,1753956048.424260,19.26,SUCCESS
google.com,35,1753956051.611296,1753956051.637007,25.71,SUCCESS
google.com,36,1753956054.828441,1753956054.851488,23.05,SUCCESS
google.com,37,1753956058.032063,1753956058.050676,18.61,SUCCESS
google.com,38,1753956061.235413,1753956061.251876,16.46,SUCCESS
google.com,39,1753956064.440247,1753956064.463430,23.18,SUCCESS
google.com,40,1753956067.646299,1753956067.671551,25.25,SUCCESS
google.com,41,1753956070.851300,1753956070.876165,24.86,SUCCESS
google.com,42,1753956074.059001,1753956074.078037,19.03,SUCCESS
google.com,43,1753956077.265078,1753956077.286698,21.62,SUCCESS
google.com,44,1753956080.465598,1753956080.486387,20.79,SUCCESS
google.com,45,1753956083.661968,1753956083.684919,22.95,SUCCESS
google.com,46,1753956086.861682,1753956086.881255,19.57,SUCCESS
google.com,47,1753956090.056278,1753956090.074680,18.40,SUCCESS
google.com,48,1753956093.264354,1753956093.283708,19.35,SUCCESS
google.com,49,1753956096.465453,1753956096.485216,19.76,SUCCESS
