DNS Testing Started at Thursday 17 July 2025 03:35:17 PM IST
================================================

Testing domain: google.com
Domain,Run,TW1,TW29,Client_RTT_ms,Status
----------------------------------------
google.com,1,1752746719.148194,1752746719.243828,95.63,SUCCESS
google.com,2,1752746722.424384,1752746722.443691,19.31,SUCCESS
google.com,3,1752746725.617252,1752746725.635291,18.04,SUCCESS
google.com,4,1752746728.818641,1752746728.836486,17.84,SUCCESS
google.com,5,1752746732.023076,1752746732.041515,18.44,SUCCESS
google.com,6,1752746735.213624,1752746735.232502,18.88,SUCCESS
google.com,7,1752746738.411809,1752746738.426574,14.76,SUCCESS
google.com,8,1752746741.597344,1752746741.615338,17.99,SUCCESS
google.com,9,1752746744.806746,1752746744.825961,19.21,SUCCESS
google.com,10,1752746748.024736,1752746748.042666,17.93,SUCCESS
google.com,11,1752746751.227097,1752746751.245069,17.97,SUCCESS
google.com,12,1752746754.420908,1752746754.437914,17.01,SUCCESS
google.com,13,1752746757.614553,1752746757.632119,17.56,SUCCESS
google.com,14,1752746760.809033,1752746760.826096,17.06,SUCCESS
google.com,15,1752746764.008595,1752746764.025171,16.57,SUCCESS
google.com,16,1752746767.209486,1752746767.227982,18.49,SUCCESS
google.com,17,1752746770.403444,1752746770.421486,18.04,SUCCESS
google.com,18,1752746773.593487,1752746773.611181,17.69,SUCCESS
google.com,19,1752746776.786116,1752746776.806595,20.48,SUCCESS
google.com,20,1752746779.991828,1752746780.014510,22.68,SUCCESS
google.com,21,1752746783.198402,1752746783.221236,22.83,SUCCESS
google.com,22,1752746786.405792,1752746786.423810,18.02,SUCCESS
google.com,23,1752746789.580524,1752746789.596108,15.58,SUCCESS
google.com,24,1752746792.773171,1752746792.793328,20.16,SUCCESS
google.com,25,1752746795.971031,1752746795.987035,16.00,SUCCESS
google.com,26,1752746799.168605,1752746799.185673,17.06,SUCCESS
google.com,27,1752746802.369007,1752746802.386631,17.62,SUCCESS
google.com,28,1752746805.568028,1752746805.587120,19.09,SUCCESS
google.com,29,1752746808.763196,1752746808.779858,16.66,SUCCESS
google.com,30,1752746811.964157,1752746811.979712,15.55,SUCCESS
