DNS Testing Started at Monday 21 July 2025 11:11:24 AM IST
================================================

Testing domain: cloudflare.com
Domain,Run,TW1,TW29,Client_RTT_ms,Status
----------------------------------------
cloudflare.com,1,1753076486.075713,1753076486.765645,689.93,SUCCESS
cloudflare.com,2,1753076489.941094,1753076489.960614,19.52,SUCCESS
cloudflare.com,3,1753076493.136332,1753076493.155512,19.18,SUCCESS
cloudflare.com,4,1753076496.334529,1753076496.350691,16.16,SUCCESS
cloudflare.com,5,1753076499.529842,1753076499.545241,15.40,SUCCESS
cloudflare.com,6,1753076502.720357,1753076502.736315,15.96,SUCCESS
cloudflare.com,7,1753076505.925543,1753076505.946106,20.56,SUCCESS
cloudflare.com,8,1753076509.124470,1753076509.139418,14.95,SUCCESS
cloudflare.com,9,1753076512.332367,1753076512.349582,17.21,SUCCESS
cloudflare.com,10,1753076515.533063,1753076515.549979,16.91,SUCCESS
cloudflare.com,11,1753076518.726753,1753076518.742671,15.92,SUCCESS
cloudflare.com,12,1753076521.905049,1753076521.924849,19.80,SUCCESS
cloudflare.com,13,1753076525.104390,1753076525.120034,15.64,SUCCESS
cloudflare.com,14,1753076528.276317,1753076528.292591,16.27,SUCCESS
cloudflare.com,15,1753076531.467502,1753076531.486542,19.04,SUCCESS
cloudflare.com,16,1753076534.652812,1753076534.671958,19.14,SUCCESS
cloudflare.com,17,1753076537.851295,1753076537.870318,19.02,SUCCESS
cloudflare.com,18,1753076541.041499,1753076541.059818,18.32,SUCCESS
cloudflare.com,19,1753076544.242136,1753076544.259691,17.55,SUCCESS
cloudflare.com,20,1753076547.445200,1753076547.466201,21.00,SUCCESS
cloudflare.com,21,1753076550.641727,1753076550.661075,19.35,SUCCESS
cloudflare.com,22,1753076553.844460,1753076553.866492,22.03,SUCCESS
cloudflare.com,23,1753076557.042125,1753076557.062128,20.00,SUCCESS
cloudflare.com,24,1753076560.242845,1753076560.259807,16.96,SUCCESS
cloudflare.com,25,1753076563.446111,1753076563.464601,18.49,SUCCESS
cloudflare.com,26,1753076566.653250,1753076566.669839,16.59,SUCCESS
cloudflare.com,27,1753076569.849800,1753076569.869473,19.67,SUCCESS
cloudflare.com,28,1753076573.042176,1753076573.056752,14.58,SUCCESS
cloudflare.com,29,1753076576.239370,1753076576.255009,15.64,SUCCESS
cloudflare.com,30,1753076579.438608,1753076579.457540,18.93,SUCCESS
cloudflare.com,31,1753076582.640057,1753076582.658978,18.92,SUCCESS
cloudflare.com,32,1753076585.838839,1753076585.857355,18.51,SUCCESS
cloudflare.com,33,1753076589.030940,1753076589.052004,21.06,SUCCESS
cloudflare.com,34,1753076592.230487,1753076592.248477,17.99,SUCCESS
cloudflare.com,35,1753076595.426676,1753076595.442690,16.01,SUCCESS
cloudflare.com,36,1753076598.615182,1753076598.635393,20.21,SUCCESS
cloudflare.com,37,1753076601.815946,1753076601.834258,18.31,SUCCESS
cloudflare.com,38,1753076604.993115,1753076605.009291,16.17,SUCCESS
cloudflare.com,39,1753076608.196549,1753076608.212861,16.31,SUCCESS
cloudflare.com,40,1753076611.380156,1753076611.396095,15.94,SUCCESS
cloudflare.com,41,1753076614.580866,1753076614.600682,19.81,SUCCESS
cloudflare.com,42,1753076617.775399,1753076617.792949,17.55,SUCCESS
cloudflare.com,43,1753076620.965598,1753076620.980843,15.24,SUCCESS
