DNS Testing Started at Wednesday 09 July 2025 05:21:40 PM IST
================================================

Testing domain: google.com
Domain,Run,TW1,TW29,Client_RTT_ms,Status
----------------------------------------
google.com,1,1752061902.108603,1752061902.199531,90.92,SUCCESS
google.com,2,1752061905.459021,1752061905.476197,17.17,SUCCESS
google.com,3,1752061908.645270,1752061908.662337,17.07,SUCCESS
google.com,4,1752061911.817079,1752061911.834664,17.58,SUCCESS
google.com,5,1752061915.077111,1752061915.091851,14.74,SUCCESS
google.com,6,1752061918.324044,1752061918.340849,16.80,SUCCESS
google.com,7,1752061921.561524,1752061921.578929,17.40,SUCCESS
google.com,8,1752061924.769003,1752061924.787493,18.48,SUCCESS
google.com,9,1752061927.945412,1752061927.966531,21.12,SUCCESS
google.com,10,1752061931.127088,1752061931.143083,15.99,SUCCESS

Testing domain: youtube.com
Domain,Run,TW1,TW29,Client_RTT_ms,Status
----------------------------------------
youtube.com,1,1752061934.393092,1752061934.408580,15.48,SUCCESS
youtube.com,2,1752061937.643075,1752061937.661532,18.45,SUCCESS
youtube.com,3,1752061940.849870,1752061940.864761,14.89,SUCCESS
youtube.com,4,1752061944.098222,1752061944.114192,15.97,SUCCESS
youtube.com,5,1752061947.267099,1752061947.282260,15.16,SUCCESS
youtube.com,6,1752061950.455933,1752061950.470621,14.68,SUCCESS
youtube.com,7,1752061953.696667,1752061953.715166,18.49,SUCCESS
youtube.com,8,1752061956.902431,1752061956.918467,16.03,SUCCESS
youtube.com,9,1752061960.138396,1752061960.154529,16.13,SUCCESS
youtube.com,10,1752061963.369301,1752061963.389052,19.75,SUCCESS

Testing domain: cloudflare.com
Domain,Run,TW1,TW29,Client_RTT_ms,Status
----------------------------------------
cloudflare.com,1,1752061966.562526,1752061968.603412,2040.88,SUCCESS
cloudflare.com,2,1752061971.767491,1752061971.783753,16.26,SUCCESS
cloudflare.com,3,1752061975.055614,1752061975.074319,18.70,SUCCESS
cloudflare.com,4,1752061978.300944,1752061978.317040,16.10,SUCCESS
cloudflare.com,5,1752061981.531671,1752061981.550417,18.74,SUCCESS
cloudflare.com,6,1752061984.742654,1752061984.758449,15.79,SUCCESS
cloudflare.com,7,1752061987.980070,1752061987.996666,16.60,SUCCESS
cloudflare.com,8,1752061991.147441,1752061991.164109,16.67,SUCCESS
cloudflare.com,9,1752061994.396731,1752061994.411309,14.57,SUCCESS
cloudflare.com,10,1752061997.598146,1752061997.615468,17.32,SUCCESS

Testing domain: spotify.com
Domain,Run,TW1,TW29,Client_RTT_ms,Status
----------------------------------------
spotify.com,1,1752062000.843742,1752062001.646015,802.27,SUCCESS
spotify.com,2,1752062004.811445,1752062004.829879,18.43,SUCCESS
spotify.com,3,1752062007.976031,1752062007.993931,17.90,SUCCESS
spotify.com,4,1752062011.202085,1752062011.218252,16.16,SUCCESS
spotify.com,5,1752062014.455248,1752062014.469916,14.66,SUCCESS
spotify.com,6,1752062017.666918,1752062017.683348,16.42,SUCCESS
spotify.com,7,1752062020.917514,1752062020.935507,17.99,SUCCESS
spotify.com,8,1752062024.104408,1752062024.121324,16.91,SUCCESS
spotify.com,9,1752062027.357324,1752062027.375174,17.85,SUCCESS
spotify.com,10,1752062030.581999,1752062030.599153,17.15,SUCCESS

Testing domain: telegram.com
Domain,Run,TW1,TW29,Client_RTT_ms,Status
----------------------------------------
telegram.com,1,1752062033.834358,1752062034.423338,588.98,SUCCESS
telegram.com,2,1752062037.635909,1752062037.655789,19.88,SUCCESS
