DNS Testing Started at Wednesday 16 July 2025 10:54:46 AM IST
================================================

Testing domain: google.com
Domain,Run,TW1,TW29,Client_RTT_ms,Status
----------------------------------------
google.com,1,1752643487.847455,1752643488.121760,274.30,SUCCESS
google.com,2,1752643491.289170,1752643491.304290,15.12,SUCCESS
google.com,3,1752643494.496678,1752643494.510204,13.52,SUCCESS
google.com,4,1752643497.685021,1752643497.698795,13.77,SUCCESS
google.com,5,1752643500.875987,1752643500.891273,15.29,SUCCESS
google.com,6,1752643504.078876,1752643504.091552,12.67,SUCCESS
google.com,7,1752643507.280589,1752643507.297067,16.47,SUCCESS
google.com,8,1752643510.488740,1752643510.502310,13.57,SUCCESS
google.com,9,1752643513.682498,1752643513.697932,15.43,SUCCESS
google.com,10,1752643516.874182,1752643516.887958,13.77,SUCCESS
google.com,11,1752643520.070276,1752643520.084173,13.89,SUCCESS
google.com,12,1752643523.279845,1752643523.294130,14.28,SUCCESS
google.com,13,1752643526.487129,1752643526.505762,18.63,SUCCESS
google.com,14,1752643529.692372,1752643529.710059,17.69,SUCCESS
google.com,15,1752643532.886535,1752643532.902580,16.04,SUCCESS
google.com,16,1752643536.084586,1752643536.099571,14.98,SUCCESS
google.com,17,1752643539.288041,1752643539.305814,17.77,SUCCESS
google.com,18,1752643542.489363,1752643542.505401,16.04,SUCCESS
google.com,19,1752643545.690282,1752643545.703573,13.29,SUCCESS
google.com,20,1752643548.889987,1752643548.907647,17.66,SUCCESS
google.com,21,1752643552.075672,1752643552.091019,15.35,SUCCESS
google.com,22,1752643555.276477,1752643555.293792,17.31,SUCCESS
google.com,23,1752643558.479671,1752643558.494963,15.29,SUCCESS
google.com,24,1752643561.691759,1752643561.706797,15.04,SUCCESS
google.com,25,1752643564.899664,1752643564.917496,17.83,SUCCESS
google.com,26,1752643568.111636,1752643568.126486,14.85,SUCCESS
google.com,27,1752643571.313036,1752643571.330070,17.03,SUCCESS
google.com,28,1752643574.500483,1752643574.517451,16.97,SUCCESS
google.com,29,1752643577.689732,1752643577.705766,16.03,SUCCESS
google.com,30,1752643580.877302,1752643580.893048,15.75,SUCCESS
google.com,31,1752643584.074690,1752643584.091421,16.73,SUCCESS
google.com,32,1752643587.272142,1752643587.288568,16.43,SUCCESS
google.com,33,1752643590.482010,1752643590.501927,19.91,SUCCESS
