DNS Testing Started at Thursday 17 July 2025 01:00:10 PM IST
================================================

Testing domain: google.com
Domain,Run,TW1,TW29,Client_RTT_ms,Status
----------------------------------------
google.com,1,1752737411.591423,1752737411.965089,373.66,SUCCESS
google.com,2,1752737415.151730,1752737415.167568,15.84,SUCCESS
google.com,3,1752737418.319146,1752737418.336146,17.00,SUCCESS
google.com,4,1752737421.524504,1752737421.540032,15.53,SUCCESS
google.com,5,1752737424.728992,1752737424.745175,16.18,SUCCESS
google.com,6,1752737427.923735,1752737427.939685,15.95,SUCCESS
google.com,7,1752737431.121500,1752737431.137638,16.14,SUCCESS
google.com,8,1752737434.324012,1752737434.340536,16.52,SUCCESS
google.com,9,1752737437.529039,1752737437.544523,15.48,SUCCESS
google.com,10,1752737440.731306,1752737440.747342,16.04,SUCCESS
google.com,11,1752737443.892639,1752737443.907532,14.89,SUCCESS
google.com,12,1752737447.097307,1752737447.112139,14.83,SUCCESS
google.com,13,1752737450.289734,1752737450.303968,14.23,SUCCESS
google.com,14,1752737453.483564,1752737453.500281,16.71,SUCCESS
google.com,15,1752737456.678386,1752737456.694713,16.32,SUCCESS
google.com,16,1752737459.880434,1752737459.895626,15.19,SUCCESS
google.com,17,1752737463.076597,1752737463.092383,15.78,SUCCESS
google.com,18,1752737466.292806,1752737466.307805,15.00,SUCCESS
google.com,19,1752737469.492622,1752737469.509780,17.16,SUCCESS
google.com,20,1752737472.700406,1752737472.716305,15.90,SUCCESS
google.com,21,1752737475.912408,1752737475.926792,14.38,SUCCESS
google.com,22,1752737479.107323,1752737479.122918,15.59,SUCCESS
google.com,23,1752737482.319351,1752737482.333647,14.29,SUCCESS
google.com,24,1752737485.515199,1752737485.531928,16.73,SUCCESS
google.com,25,1752737488.718997,1752737488.736462,17.46,SUCCESS
google.com,26,1752737491.919788,1752737491.936011,16.22,SUCCESS
google.com,27,1752737495.128542,1752737495.146073,17.53,SUCCESS
google.com,28,1752737498.336139,1752737498.352281,16.14,SUCCESS
google.com,29,1752737501.533158,1752737501.549994,16.83,SUCCESS
google.com,30,1752737504.736774,1752737504.751137,14.36,SUCCESS
google.com,31,1752737507.942995,1752737507.959951,16.95,SUCCESS
google.com,32,1752737511.149472,1752737511.164717,15.24,SUCCESS
google.com,33,1752737514.355161,1752737514.375416,20.25,SUCCESS
google.com,34,1752737517.524617,1752737517.539376,14.76,SUCCESS
google.com,35,1752737520.722487,1752737520.739823,17.33,SUCCESS
google.com,36,1752737523.920358,1752737523.937394,17.03,SUCCESS
google.com,37,1752737527.129297,1752737527.148330,19.03,SUCCESS
google.com,38,1752737530.330930,1752737530.346506,15.57,SUCCESS
google.com,39,1752737533.534107,1752737533.552303,18.20,SUCCESS
google.com,40,1752737536.709243,1752737536.724600,15.36,SUCCESS
google.com,41,1752737539.915344,1752737539.930615,15.27,SUCCESS
google.com,42,1752737543.107300,1752737543.125000,17.70,SUCCESS
google.com,43,1752737546.315060,1752737546.333436,18.37,SUCCESS
google.com,44,1752737549.516914,1752737549.531670,14.75,SUCCESS
google.com,45,1752737552.688138,1752737552.704595,16.45,SUCCESS
google.com,46,1752737555.890486,1752737555.904735,14.25,SUCCESS
google.com,47,1752737559.095736,1752737559.113147,17.41,SUCCESS
google.com,48,1752737562.297127,1752737562.313485,16.36,SUCCESS
google.com,49,1752737565.496063,1752737565.515336,19.27,SUCCESS
google.com,50,1752737568.702281,1752737568.720498,18.21,SUCCESS
google.com,51,1752737571.908528,1752737571.925073,16.54,SUCCESS
google.com,52,1752737575.108078,1752737575.126041,17.96,SUCCESS
google.com,53,1752737578.315766,1752737578.331691,15.92,SUCCESS
google.com,54,1752737581.510268,1752737581.528638,18.37,SUCCESS
google.com,55,1752737584.717235,1752737584.737534,20.30,SUCCESS
google.com,56,1752737587.931455,1752737587.947522,16.06,SUCCESS
google.com,57,1752737591.133962,1752737591.150431,16.47,SUCCESS
google.com,58,1752737594.343648,1752737594.360760,17.11,SUCCESS
google.com,59,1752737597.543017,1752737597.558163,15.14,SUCCESS
google.com,60,1752737600.751298,1752737600.768369,17.07,SUCCESS
google.com,61,1752737603.956570,1752737603.973738,17.17,SUCCESS
google.com,62,1752737607.155916,1752737607.172628,16.71,SUCCESS
google.com,63,1752737610.357918,1752737610.375144,17.22,SUCCESS
google.com,64,1752737613.558577,1752737613.574733,16.15,SUCCESS
google.com,65,1752737616.766642,1752737616.785262,18.62,SUCCESS
google.com,66,1752737619.975783,1752737619.992389,16.60,SUCCESS
google.com,67,1752737623.178398,1752737623.193127,14.73,SUCCESS
google.com,68,1752737626.376138,1752737626.392563,16.42,SUCCESS
google.com,69,1752737629.586403,1752737629.602592,16.19,SUCCESS
google.com,70,1752737632.788532,1752737632.805447,16.91,SUCCESS
google.com,71,1752737635.995003,1752737636.010717,15.71,SUCCESS
google.com,72,1752737639.199222,1752737639.216862,17.64,SUCCESS
google.com,73,1752737642.396449,1752737642.409944,13.49,SUCCESS
google.com,74,1752737645.592970,1752737645.608388,15.42,SUCCESS
google.com,75,1752737648.802564,1752737648.818437,15.87,SUCCESS
google.com,76,1752737652.006772,1752737652.022432,15.66,SUCCESS
google.com,77,1752737655.208118,1752737655.225655,17.54,SUCCESS
google.com,78,1752737658.416622,1752737658.434048,17.42,SUCCESS
google.com,79,1752737661.624672,1752737661.642588,17.91,SUCCESS
google.com,80,1752737664.844662,1752737664.861060,16.40,SUCCESS
google.com,81,1752737668.048280,1752737668.064414,16.13,SUCCESS
google.com,82,1752737671.248192,1752737671.264966,16.77,SUCCESS
google.com,83,1752737674.451771,1752737674.468236,16.46,SUCCESS
google.com,84,1752737677.653413,1752737677.671944,18.53,SUCCESS
google.com,85,1752737680.861228,1752737680.879265,18.04,SUCCESS
google.com,86,1752737684.075334,1752737684.089346,14.01,SUCCESS
google.com,87,1752737687.279763,1752737687.298283,18.52,SUCCESS
google.com,88,1752737690.486458,1752737690.505275,18.82,SUCCESS
google.com,89,1752737693.695490,1752737693.712404,16.91,SUCCESS
google.com,90,1752737696.904435,1752737696.921718,17.28,SUCCESS
google.com,91,1752737700.113830,1752737700.132949,19.12,SUCCESS
google.com,92,1752737703.327247,1752737703.343264,16.01,SUCCESS
