DNS Testing Started at Wednesday 16 July 2025 05:32:26 PM IST
================================================

Testing domain: google.com
Domain,Run,TW1,TW29,Client_RTT_ms,Status
----------------------------------------
google.com,1,1752667347.784301,1752667347.883636,99.33,SUCCESS
google.com,2,1752667351.129213,1752667351.133676,4.46,SUCCESS
google.com,3,1752667354.325269,1752667354.329921,4.65,SUCCESS
google.com,4,1752667357.527200,1752667357.531586,4.38,SUCCESS
google.com,5,1752667360.770531,1752667360.774716,4.18,SUCCESS
google.com,6,1752667364.005762,1752667364.010122,4.36,SUCCESS
google.com,7,1752667367.192400,1752667367.196986,4.58,SUCCESS
google.com,8,1752667370.435150,1752667370.439573,4.42,SUCCESS
google.com,9,1752667373.665491,1752667373.669646,4.15,SUCCESS
google.com,10,1752667376.871107,1752667376.875533,4.42,SUCCESS
google.com,11,1752667380.114595,1752667380.119523,4.93,SUCCESS
google.com,12,1752667383.346884,1752667383.351609,4.72,SUCCESS
google.com,13,1752667386.555204,1752667386.559935,4.73,SUCCESS
google.com,14,1752667389.790202,1752667389.794862,4.66,SUCCESS
google.com,15,1752667392.976237,1752667392.980759,4.52,SUCCESS
google.com,16,1752667396.181296,1752667396.185682,4.38,SUCCESS
google.com,17,1752667399.437564,1752667399.442009,4.44,SUCCESS
google.com,18,1752667402.678364,1752667402.683063,4.70,SUCCESS
google.com,19,1752667405.881908,1752667405.886371,4.46,SUCCESS
google.com,20,1752667409.109955,1752667409.114159,4.20,SUCCESS
google.com,21,1752667412.356648,1752667412.360971,4.32,SUCCESS
google.com,22,1752667415.556231,1752667415.560865,4.63,SUCCESS
google.com,23,1752667418.778420,1752667418.782602,4.18,SUCCESS
google.com,24,1752667422.034882,1752667422.039363,4.48,SUCCESS
google.com,25,1752667425.270798,1752667425.275533,4.73,SUCCESS
google.com,26,1752667428.472890,1752667428.477329,4.44,SUCCESS
google.com,27,1752667431.716077,1752667431.720451,4.37,SUCCESS
google.com,28,1752667434.943001,1752667434.947845,4.84,SUCCESS
google.com,29,1752667438.150943,1752667438.155547,4.60,SUCCESS
google.com,30,1752667441.399995,1752667441.404573,4.58,SUCCESS
google.com,31,1752667444.600464,1752667444.604891,4.42,SUCCESS
google.com,32,1752667447.810515,1752667447.815094,4.58,SUCCESS
google.com,33,1752667451.061178,1752667451.065520,4.34,SUCCESS
google.com,34,1752667454.295539,1752667454.299795,4.25,SUCCESS
google.com,35,1752667457.512074,1752667457.516680,4.60,SUCCESS
google.com,36,1752667460.758984,1752667460.763324,4.34,SUCCESS
google.com,37,1752667464.000443,1752667464.004886,4.44,SUCCESS
google.com,38,1752667467.209423,1752667467.213822,4.40,SUCCESS
google.com,39,1752667470.464237,1752667470.468570,4.33,SUCCESS
google.com,40,1752667473.691168,1752667473.695560,4.39,SUCCESS
google.com,41,1752667476.887599,1752667476.891944,4.34,SUCCESS
google.com,42,1752667480.140239,1752667480.144682,4.44,SUCCESS
google.com,43,1752667483.362121,1752667483.366127,4.00,SUCCESS
google.com,44,1752667486.543640,1752667486.547984,4.34,SUCCESS
google.com,45,1752667489.795397,1752667489.799805,4.40,SUCCESS
google.com,46,1752667493.015393,1752667493.019624,4.23,SUCCESS
google.com,47,1752667496.249202,1752667496.253862,4.66,SUCCESS
google.com,48,1752667499.507735,1752667499.511803,4.07,SUCCESS
google.com,49,1752667502.702353,1752667502.706416,4.06,SUCCESS
google.com,50,1752667505.896654,1752667505.901139,4.48,SUCCESS
google.com,51,1752667509.153870,1752667509.158267,4.39,SUCCESS
google.com,52,1752667512.372891,1752667512.377069,4.18,SUCCESS
google.com,53,1752667515.559365,1752667515.563949,4.58,SUCCESS
google.com,54,1752667518.810491,1752667518.814358,3.86,SUCCESS
google.com,55,1752667522.030394,1752667522.034692,4.30,SUCCESS
google.com,56,1752667525.226428,1752667525.230695,4.27,SUCCESS
google.com,57,1752667528.478789,1752667528.483008,4.22,SUCCESS
google.com,58,1752667531.707040,1752667531.711609,4.57,SUCCESS
google.com,59,1752667534.907990,1752667534.912047,4.05,SUCCESS
google.com,60,1752667538.164582,1752667538.169113,4.53,SUCCESS
google.com,61,1752667541.384496,1752667541.389219,4.72,SUCCESS
google.com,62,1752667544.573524,1752667544.578062,4.53,SUCCESS
google.com,63,1752667547.769594,1752667548.358059,588.46,SUCCESS
google.com,64,1752667551.547311,1752667551.552257,4.94,SUCCESS
google.com,65,1752667554.744969,1752667554.749301,4.33,SUCCESS
google.com,66,1752667557.931805,1752667557.935715,3.91,SUCCESS
google.com,67,1752667561.097769,1752667561.102009,4.24,SUCCESS
google.com,68,1752667564.294808,1752667564.298754,3.94,SUCCESS
google.com,69,1752667567.483485,1752667567.487902,4.41,SUCCESS
google.com,70,1752667570.675778,1752667570.680110,4.33,SUCCESS
google.com,71,1752667573.853677,1752667573.858014,4.33,SUCCESS
google.com,72,1752667577.039383,1752667577.043933,4.55,SUCCESS
google.com,73,1752667580.219611,1752667580.223975,4.36,SUCCESS
google.com,74,1752667583.401550,1752667583.405854,4.30,SUCCESS
google.com,75,1752667586.584770,1752667586.588857,4.09,SUCCESS
google.com,76,1752667589.770380,1752667589.774908,4.53,SUCCESS
google.com,77,1752667592.958555,1752667592.963227,4.67,SUCCESS
google.com,78,1752667596.145395,1752667596.149680,4.28,SUCCESS
google.com,79,1752667599.339311,1752667599.343863,4.55,SUCCESS
google.com,80,1752667602.527338,1752667602.532362,5.02,SUCCESS
google.com,81,1752667605.719836,1752667605.724702,4.86,SUCCESS
google.com,82,1752667608.972135,1752667608.976994,4.86,SUCCESS
google.com,83,1752667612.147779,1752667612.152549,4.77,SUCCESS
google.com,84,1752667615.364684,1752667615.369793,5.11,SUCCESS
google.com,85,1752667618.608835,1752667618.613381,4.55,SUCCESS
