RR Monitoring Started at Thu Jul 31 03:21:01 PM IST 2025
================================================
Timestamp,Domain,Run,Type,TW6,TW7,TW8,TW9,TW10,TW11,TW12,TW13,TW14,TW19,TW20,TW21,TW22_ANS_decrypt_end,TW22,TW23,TW24,RR_RTT_ms,PowerDNS_RTT_ms,ANS_RTT_ms,Status

2025-07-31 15:29:12,google.com,1,Global,1753955938.851769,1753955938.852032,1753955938.859885,1753955938.933166,,1753955942.524076,,,,,,,,1753955942.524122,1753955942.527124,1753955942.527133,3675.46,3590.92,,SUCCESS
2025-07-31 15:29:13,google.com,2,Global,1753955945.720162,1753955945.720436,1753955945.729616,1753955945.729954,,1753955945.730594,,,,,,,,1753955945.730642,1753955945.733535,1753955945.733541,13.48,0.65,,SUCCESS
2025-07-31 15:29:14,google.com,3,Global,1753955948.927090,1753955948.927369,1753955948.936650,1753955948.936960,,1753955948.937589,,,,,,,,1753955948.937632,1753955948.940505,1753955948.940511,13.53,0.64,,SUCCESS
2025-07-31 15:29:22,google.com,4,Global,1753955952.130652,1753955952.131109,1753955952.139168,1753955952.139450,,1753955952.140047,,,,,,,,1753955952.140086,1753955952.142928,1753955952.142934,12.37,0.61,,SUCCESS
2025-07-31 15:29:22,google.com,5,Global,1753955955.338975,1753955955.339275,1753955955.348211,1753955955.348554,,1753955955.349144,,,,,,,,1753955955.349195,1753955955.352277,1753955955.352286,13.41,0.61,,SUCCESS
2025-07-31 15:29:23,google.com,6,Global,1753955958.543881,1753955958.544188,1753955958.552490,1753955958.552830,,1753955958.553429,,,,,,,,1753955958.553517,1753955958.556379,1753955958.556390,12.61,0.62,,SUCCESS
2025-07-31 15:29:34,google.com,7,Global,1753955961.756279,1753955961.756598,1753955961.762401,1753955961.762828,,1753955961.763433,,,,,,,,1753955961.763497,1753955961.766290,1753955961.766296,10.11,0.61,,SUCCESS
2025-07-31 15:29:35,google.com,8,Global,1753955964.955184,1753955964.955420,1753955964.964066,1753955964.964353,,1753955964.964954,,,,,,,,1753955964.964991,1753955964.967906,1753955964.967923,12.84,0.61,,SUCCESS
2025-07-31 15:29:36,google.com,9,Global,1753955968.164691,1753955968.164876,1753955968.170221,1753955968.170517,,1753955968.171071,,,,,,,,1753955968.171117,1753955968.174162,1753955968.174169,9.58,0.57,,SUCCESS
2025-07-31 15:29:36,google.com,10,Global,1753955971.367878,1753955971.368149,1753955971.376888,1753955971.377175,,1753955971.377856,,,,,,,,1753955971.377901,1753955971.380778,1753955971.380784,13.01,0.70,,SUCCESS
2025-07-31 15:29:44,google.com,11,Global,1753955974.577055,1753955974.577404,1753955974.583920,1753955974.584199,,1753955974.584762,,,,,,,,1753955974.584813,1753955974.588962,1753955974.588970,12.00,0.58,,SUCCESS
2025-07-31 15:29:45,google.com,12,Global,1753955977.781698,1753955977.782022,1753955977.790828,1753955977.791133,,1753955977.791776,,,,,,,,1753955977.791816,1753955977.794685,1753955977.794691,13.09,0.66,,SUCCESS
2025-07-31 15:29:46,google.com,13,Global,1753955980.999049,1753955980.999285,1753955981.009031,1753955981.009309,,1753955981.009869,,,,,,,,1753955981.009927,1753955981.012973,1753955981.012978,14.02,0.58,,SUCCESS
2025-07-31 15:29:54,google.com,14,Global,1753955984.210530,1753955984.210876,1753955984.215690,1753955984.215956,,1753955984.216365,,,,,,,,1753955984.216382,1753955984.218744,1753955984.218748,8.29,0.41,,SUCCESS
2025-07-31 15:29:54,google.com,15,Global,1753955987.412762,1753955987.413051,1753955987.421972,1753955987.422346,,1753955987.422953,,,,,,,,1753955987.423004,1753955987.425789,1753955987.425796,13.13,0.63,,SUCCESS
2025-07-31 15:29:55,google.com,16,Global,1753955990.619041,1753955990.619272,1753955990.628636,1753955990.628954,,1753955990.629524,,,,,,,,1753955990.629562,1753955990.632301,1753955990.632306,13.36,0.58,,SUCCESS
2025-07-31 15:30:06,google.com,17,Global,1753955993.822454,1753955993.822988,1753955993.827946,1753955993.828225,,1753955993.828840,,,,,,,,1753955993.829026,1753955993.831949,1753955993.831954,9.59,0.77,,SUCCESS
2025-07-31 15:30:07,google.com,18,Global,1753955997.020847,1753955997.021152,1753955997.030138,1753955997.030407,,1753955997.031084,,,,,,,,1753955997.031138,1753955997.033867,1753955997.033875,13.12,0.70,,SUCCESS
2025-07-31 15:30:08,google.com,19,Global,1753956000.228482,1753956000.228773,1753956000.236459,1753956000.236714,,1753956000.237275,,,,,,,,1753956000.237328,1753956000.240206,1753956000.240223,11.86,0.58,,SUCCESS
2025-07-31 15:30:08,google.com,20,Global,1753956003.444578,1753956003.444762,1753956003.453309,1753956003.453611,,1753956003.454163,,,,,,,,1753956003.454199,1753956003.457013,1753956003.457025,12.55,0.56,,SUCCESS
2025-07-31 15:30:16,google.com,21,Global,1753956006.648519,1753956006.648953,1753956006.658924,1753956006.659214,,1753956006.659903,,,,,,,,1753956006.659957,1753956006.663243,1753956006.663261,14.83,0.71,,SUCCESS
2025-07-31 15:30:17,google.com,22,Global,1753956009.856866,1753956009.857210,1753956009.868456,1753956009.868744,,1753956009.869323,,,,,,,,1753956009.869373,1753956009.874301,1753956009.874309,17.54,0.60,,SUCCESS
2025-07-31 15:30:18,google.com,23,Global,1753956013.068865,1753956013.069159,1753956013.074410,1753956013.074690,,1753956013.075266,,,,,,,,1753956013.075301,1753956013.077863,1753956013.077868,9.10,0.58,,SUCCESS
2025-07-31 15:30:29,google.com,24,Global,1753956016.275886,1753956016.276226,1753956016.285845,1753956016.286241,,1753956016.286916,,,,,,,,1753956016.286978,1753956016.289966,1753956016.289972,14.18,0.69,,SUCCESS
